country,country_code,gold,silver,bronze,total,rank,rank_total
Norway,NOR,16,8,10,34,1,1
United States,USA,9,12,6,27,2,2
Italy,ITA,9,5,12,26,3,3
France,FRA,6,8,5,19,4,6
Netherlands,NED,6,7,3,16,5,8
Sweden,SWE,6,6,3,15,6,9
Switzerland,SUI,6,4,4,14,7,11
Germany,GER,5,8,8,21,8,5
Austria,AUT,5,8,5,18,9,7
Japan,JPN,5,7,12,24,10,4
Canada,CAN,4,5,6,15,11,9
China,CHN,3,3,4,10,12,12
Australia,AUS,3,2,1,6,13,14
Great Britain,GBR,3,0,0,3,14,19
Korea,KOR,2,2,3,7,15,13
Czechia,CZE,2,2,0,4,16,16
Slovenia,SLO,2,1,1,4,17,16
Spain,ESP,1,0,1,2,18,21
Brazil,BRA,1,0,0,1,19,24
Kazakhstan,KAZ,1,0,0,1,19,24
Poland,POL,0,3,1,4,21,16
New Zealand,NZL,0,2,1,3,22,19
Finland,FIN,0,1,4,5,23,15
Latvia,LAT,0,1,1,2,24,21
Georgia,GEO,0,1,0,1,25,24
Bulgaria,BUL,0,0,2,2,26,21
Belgium,BEL,0,0,1,1,27,24
