country                    , code, owner   , draft_pick, draft_round
Norway                     ,  NOR, Grant   ,          1,           1
Canada                     ,  CAN, John    ,          2,           1
Finland                    ,  FIN, Eric    ,          3,           1
Sweden                     ,  SWE, Meredith,          4,           1
Germany                    ,  GER, Kalida  ,          5,           1
Netherlands                ,  NED, Kalida  ,          6,           2
Italy                      ,  ITA, Meredith,          7,           2
Switzerland                ,  SUI, Eric    ,          8,           2
South Korea                ,  KOR, John    ,          9,           2
Latvia                     ,  LAT, Grant   ,         10,           2
Austria                    ,  AUT, Grant   ,         11,           3
France                     ,  FRA, John    ,         12,           3
China                      ,  CHN, Eric    ,         13,           3
Czech Republic             ,  CZE, Meredith,         14,           3
Japan                      ,  JPN, Kalida  ,         15,           3
Slovenia                   ,  SLO, Kalida  ,         16,           4
Great Britain              ,  GBR, Meredith,         17,           4
Poland                     ,  POL, Eric    ,         18,           4
New Zealand                ,  NZL, John    ,         19,           4
Individual Neutral Athletes,  INA, Grant   ,         20,           4
Estonia                    ,  EST, Grant   ,         21,           5
Lithuania                  ,  LTU, John    ,         22,           5
Denmark                    ,  DEN, Eric    ,         23,           5
Australia                  ,  AUS, Meredith,         24,           5
Hungary                    ,  HUN, Kalida  ,         25,           5
Belgium                    ,  BEL, Kalida  ,         26,           6
Liechtenstein              ,  LIE, Meredith,         27,           6
Ukraine                    ,  UKR, Eric    ,         28,           6
Brazil                     ,  BRA, John    ,         29,           6
Kazakhstan                 ,  KAZ, Grant   ,         30,           6
Croatia                    ,  CRO, Grant   ,         31,           7
Luxembourg                 ,  LUX, John    ,         32,           7
Slovakia                   ,  SVK, Eric    ,         33,           7
Jamaica                    ,  JAM, Meredith,         34,           7
Spain                      ,  ESP, Kalida  ,         35,           7
